"","vertexID","vertexCentrDegree","vertexCentrCloseness","vertexCentrEigen","vertexCentrBetweenness","vertexPageRank","vertexHub","vertexAuthority"
"wang l","wang l",0.586206896551724,0.386666666666667,0.212319195020648,0.0807871703121364,0.0377155673241268,0.94018374839201,0.940183748392011
"chen gr","chen gr",0.482758620689655,0.345238095238095,0.185531942281649,0.0494994079136357,0.0464219991192342,0.570109957394606,0.570109957394606
"wang j","wang j",0.620689655172414,0.376623376623377,0.917008107488273,0.0665759374976001,0.0391804491471561,1,1
"zhou t","zhou t",0.413793103448276,0.345238095238095,0.163887162194994,0.0309089716206646,0.0333313490886045,0.596444120153962,0.596444120153962
"zhang y","zhang y",0.517241379310345,0.349397590361446,0.921554697281579,0.0218165768204659,0.0377470118231232,0.874932498913359,0.874932498913359
"zhang zz","zhang zz",0.275862068965517,0.0923566878980892,0.153043724659434,0,0.0395811597938132,0.309632772252297,0.309632772252297
"wang y","wang y",0.586206896551724,0.376623376623377,0.914056596902256,0.105297401938536,0.0388611518230233,0.931347466948806,0.931347466948806
"wang z","wang z",0.482758620689655,0.367088607594937,0.186580142079678,0.0469845561010975,0.0366182990191838,0.746283529368922,0.746283529368922
"liu j","liu j",0.482758620689655,0.367088607594937,0.176863289016456,0.0419595080793589,0.0298986630138817,0.76308034083142,0.76308034083142
"liu y","liu y",0.517241379310345,0.349397590361446,0.998074125532945,0.0365674661769234,0.0411768165217345,0.859536447217849,0.859536447217849
"wang bh","wang bh",0.413793103448276,0.353658536585366,0.125022192265142,0.0463902061514882,0.0296892824179906,0.565520904351556,0.565520904351557
"zhang j","zhang j",0.655172413793103,0.386666666666667,0.228684018900341,0.102708347901579,0.0433392158765248,0.994324770711614,0.994324770711615
"li x","li x",0.551724137931034,0.391891891891892,0.209804089347477,0.105362277297186,0.0389248471193661,0.794857730659091,0.794857730659092
"kurths j","kurths j",0.275862068965517,0.298969072164948,0.115125260195344,0.00223540826989103,0.0304447703147427,0.381023310401136,0.381023310401137
"li y","li y",0.379310344827586,0.308510638297872,0.901856664424972,0.00309592076394986,0.0360587870111127,0.685245196445724,0.685245196445725
"havlin s","havlin s",0.137931034482759,0.276190476190476,0.0698099257909341,0,0.0194174292636553,0.196985127375357,0.196985127375358
"stanley he","stanley he",0.448275862068966,0.337209302325581,0.166405039805642,0.0293093713822259,0.0410073129481766,0.611002175972562,0.611002175972563
"wang h","wang h",0.379310344827586,0.329545454545455,0.816452774504693,0.0034377021445987,0.0326232872884251,0.704464204692972,0.704464204692973
"perc m","perc m",0.344827586206897,0.345238095238095,0.125483988770116,0.0141498252042107,0.0306352603851983,0.501555597475643,0.501555597475644
"lai yc","lai yc",0.413793103448276,0.358024691358025,0.13811793454335,0.0356394578033233,0.0254595483667608,0.640923508253269,0.64092350825327
"wang wx","wang wx",0.310344827586207,0.345238095238095,0.0965822553436651,0.0244610319150117,0.021286448247822,0.467392179087303,0.467392179087304
"wang x","wang x",0.586206896551724,0.3625,1,0.0460059792492039,0.0421672790415746,0.939961947358869,0.939961947358869
"zhang yc","zhang yc",0.413793103448276,0.3625,0.16276093866921,0.0608789539856431,0.0331822185050051,0.55160813513465,0.55160813513465
"chen y","chen y",0.344827586206897,0.353658536585366,0.129224030971835,0.0133791900739696,0.0213692885377461,0.62018754152306,0.620187541523061
"chen l","chen l",0.448275862068966,0.353658536585366,0.705224992906531,0.0194368747333944,0.0302707480035909,0.758212156135674,0.758212156135675
"small m","small m",0.206896551724138,0.308510638297872,0.0937930391132704,0.00322079830117165,0.020074293833419,0.355091103549432,0.355091103549432
"zhang x","zhang x",0.379310344827586,0.333333333333333,0.791527243775937,0.00871078839059135,0.0327203926474052,0.656712197399623,0.656712197399623
"li j","li j",0.551724137931034,0.3625,0.922633436024609,0.0258114118440645,0.0382172933618096,0.914526406946982,0.914526406946983
"zhou sg","zhou sg",0.172413793103448,0.0900621118012422,0.101376461186283,0,0.0262899150778965,0.177350695147652,0.177350695147652
"guan jh","guan jh",0.172413793103448,0.0900621118012422,0.101376461186283,0,0.0262899150778965,0.177350695147652,0.177350695147652
