"","vertexID","vertexCentrDegree","vertexCentrCloseness","vertexCentrEigen","vertexCentrBetweenness","vertexPageRank","vertexHub","vertexAuthority"
"dynamics","dynamics",1,0.358024691358025,1,0.000579765062523683,0.0346806436924682,1,1
"model","model",0.96551724137931,0.358024691358025,0.966224882474769,0.000579765062523683,0.0336206573815088,0.967136594601692,0.967136594601692
"complex networks","complex networks",0.896551724137931,0.0957095709570957,0.933235970511373,0,0.0323097855108598,0.905456622544615,0.905456622544616
"networks","networks",0.896551724137931,0.0932475884244373,0.933247801942745,0,0.0323137174782821,0.906541474585812,0.906541474585812
"evolution","evolution",1,0.358024691358025,0.999999999999999,0.000579765062523683,0.0346806436924682,1,1
"small-world","small-world",1,0.358024691358025,0.999999999999999,0.000579765062523683,0.0346806436924682,1,1
"community structure","community structure",1,0.358024691358025,0.999999999999999,0.000579765062523683,0.0346806436924682,1,1
"organization","organization",1,0.358024691358025,0.999999999999999,0.000579765062523683,0.0346806436924682,1,1
"centrality","centrality",1,0.358024691358025,0.999999999999999,0.000579765062523683,0.0346806436924682,1,1
"emergence","emergence",1,0.358024691358025,1,0.000579765062523683,0.0346806436924682,1,1
"systems","systems",1,0.358024691358025,0.999999999999999,0.000579765062523683,0.0346806436924682,1,1
"internet","internet",1,0.358024691358025,1,0.000579765062523683,0.0346806436924682,1,1
"models","models",0.96551724137931,0.358024691358025,0.966224882474769,0.000579765062523683,0.0336206573815088,0.967136594601692,0.967136594601692
"connectivity","connectivity",0.96551724137931,0.358024691358025,0.96622488247477,0.000579765062523683,0.0336206573815088,0.967136594601692,0.967136594601692
"synchronization","synchronization",1,0.358024691358025,0.999999999999999,0.000579765062523683,0.0346806436924682,1,1
"patterns","patterns",1,0.358024691358025,1,0.000579765062523683,0.0346806436924682,1,1
"algorithm","algorithm",0.96551724137931,0.358024691358025,0.96622488247477,0.000579765062523683,0.0336206573815088,0.967136594601692,0.967136594601692
"complex","complex",0.96551724137931,0.349397590361446,0.967378034705479,0.000284198560060629,0.0336189518894057,0.96923248667938,0.96923248667938
"stability","stability",1,0.358024691358025,0.999999999999999,0.000579765062523683,0.0346806436924682,1,1
"identification","identification",1,0.358024691358025,0.999999999999999,0.000579765062523683,0.0346806436924682,1,1
"behavior","behavior",0.96551724137931,0.358024691358025,0.96622488247477,0.000579765062523683,0.0336206573815088,0.967136594601692,0.967136594601692
"functional connectivity","functional connectivity",0.96551724137931,0.358024691358025,0.966224882474769,0.000579765062523683,0.0336206573815088,0.967136594601692,0.967136594601692
"network","network",0.896551724137931,0.491525423728814,0.0933247801942744,0.802955665024631,0.00773137174782821,0.906541474585812,0.906541474585812
"topology","topology",1,0.358024691358025,1,0.000579765062523683,0.0346806436924682,1,1
"information","information",1,0.358024691358025,0.999999999999999,0.000579765062523683,0.0346806436924682,1,1
"modularity","modularity",1,0.358024691358025,1,0.000579765062523683,0.0346806436924682,1,1
"social networks","social networks",0.931034482758621,0.0963455149501661,0.967051397340186,0,0.0333699989276756,0.938391246580917,0.938391246580917
"impact","impact",1,0.358024691358025,0.999999999999999,0.000579765062523683,0.0346806436924682,1,1
"diffusion","diffusion",1,0.358024691358025,0.999999999999999,0.000579765062523683,0.0346806436924682,1,1
"robustness","robustness",1,0.358024691358025,0.999999999999999,0.000579765062523683,0.0346806436924682,1,1
